Activity,Strain/Sprain,Contusion,Fracture,Concussion,Other
Rebounding,11386,1819,1003,856,1676
General play,7204,1885,808,1053,3839
Defending,4517,1354,1338,2170,1227
Shooting,7809,1097,3533,249,623
Chasing loose ball,2873,1204,602,1068,739
Ball handling/dribbling,1914,78,0,325,355
Receiving pass,1221,0,348,0,78
Passing,932,0,470,0,248
Conditioning,965,0,0,0,744
Screening,0,0,0,0,348
Other,0,185,0,510,0
Unknown,4908,720,1259,2103,2216
Total,43729,8342,9361,8336,12093
